id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,nombrePostes,experienceExige,experienceLibelle,competences,formations,langues,permis,outilsBureautiques,qualitesProfessionnelles,lieuTravail,entreprise,codeNAF,secteurActivite,secteurActiviteLibelle,salaire,qualificationCode,qualificationLibelle,contact,agence,accessibleTH,origineOffre,contexteTravail,date_collecte,source_API,source,category_tag,category_label
5146952209,Ingénieur développement embarqué - Linux / Yocto F/H,"Et si vous étiez la personne qui va débloquer les projets embarqués Linux chez un grand nom de l’industrie ? Chez CELAD, on cherche quelqu’un qui aime mettre les mains dans Yocto, faire parler les boards, et apporter du support de qualité. Si pour vous Linux, c’est plus qu’un OS, on va bien s’entendre  Nous poursuivons notre développement et recherchons actuellement un.e Ingénieur développement embarqué Linux / Yocto pour intervenir chez un de nos clients. Le défi que vous allez relever : Notre…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,Ingénieur développement embarqué - Linux / Yocto F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Grenoble, Isère', 'latitude': 45.19428, 'longitude': 5.73163, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': 'CELAD', 'description': None, 'siret': None}",,,,"{'salaireMin': 38000.0, 'salaireMax': 45000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952209?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952193,Formateur en Soudure F/H,"Rejoignez une équipe dynamique en tant que Formateur en Soudure H/F  Nous recrutons pour un de nos clients un Formateur en Soudure H/F sur le secteur de Saint-Louis (68). Si vous êtes passionné par les techniques de soudure, avez une solide expérience dans ce domaine et souhaitez relever des défis techniques tout en contribuant à la qualité des projets, cette opportunité est faite pour vous  Ce qui vous attend : Garantir la qualité et la conformité des soudures. Apporter un support technique au…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,Formateur en Soudure F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'France', 'latitude': nan, 'longitude': nan, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': 'Working Success', 'description': None, 'siret': None}",,,,"{'salaireMin': 30000.0, 'salaireMax': 35000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952193?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952266,Chef de Rayon Alimentaire F/H,"Au quotidien, vous dirigez votre rayon et votre équipe. Ensemble, vous veillez à dynamiser les ventes, à offrir un accueil de qualité à vos clients : Expérience client : Assurer un accueil et un service de qualité pour fidéliser la clientèle. Gestion commerciale : Réception, implantation et mise en valeur des produits pour une présentation optimale. Gestion opérationnelle : Commandes, gestion des stocks, suivi des indicateurs de performance. Encadrement et animation : Recrutement, formation, mo…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,Chef de Rayon Alimentaire F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Ailly-le-Haut-Clocher, Abbeville', 'latitude': 50.11429, 'longitude': 2.04869, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': ""Mercato de l'emploi"", 'description': None, 'siret': None}",,,,"{'salaireMin': 45000.0, 'salaireMax': 60000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952266?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952245,PRÉPARATEUR EN PHARMACIE F/H,"? Vous souhaitez contribuer à une prise en charge de qualité, innovante et humaine ? Rejoignez SOSAN et participez activement à la coordination pharmaceutique de lhospitalisation à domicile   Vos missions au coeur du service HAD : Sous la supervision du Pharmacien de la PUI , vous êtes garant(e) de la bonne gestion des traitements et dispositifs médicaux, dans le respect des normes de sécurité et de qualité.  Préparation et suivi des traitements : Préparation des piluliers selon prescriptions i…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,PRÉPARATEUR EN PHARMACIE F/H,contract,contract,,,,,,,,[],,,,,,"{'libelle': 'Le Mans, Sarthe', 'latitude': 48.00772, 'longitude': 0.19858, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': ""Mercato de l'emploi"", 'description': None, 'siret': None}",,,,"{'salaireMin': 27.0, 'salaireMax': 27000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952245?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952230,Responsable d'Activités Travaux CVC F/H,"Ce poste offre l'opportunité de piloter des projets d'envergure dans un secteur en pleine expansion. Vous serez responsable de la gestion complète des chantiers, de l'approvisionnement à la mise en service, en veillant à ce que chaque étape respecte les délais et les exigences de qualité. Vous devrez vous rendre à Toulouse 2 à 3 jours par semaine pour suivre les chantiers, les déplacements seront pris en charge par l'entreprise. Gestion et suivi rigoureux de plusieurs chantiers en simultané, en…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,Responsable d'Activités Travaux CVC F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Pau, Pyrénées-Atlantiques', 'latitude': 43.29752, 'longitude': -0.37436, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': ""Mercato de l'emploi"", 'description': None, 'siret': None}",,,,"{'salaireMin': 47000.0, 'salaireMax': 55000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952230?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952253,Ingénieur Technico-Commercial Sédentaire F/H,"Au sein du département Ventes, vous aurez pour mission le suivi de nos clients PME/ETI/Startup du domaine électronique/électrotechnique et de leur proposer des solutions techniques High Tech dans le monde du test et mesure (Electronique de puissance, Calibration, Essais climatiques, …). Les missions principales sont : Assurer le suivi de consultations : o De l’étude de la demande à la prise de commande. Assurez la fidélisation en détectant les futurs besoins clients. Diplôme : Vous êtes de form…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,Ingénieur Technico-Commercial Sédentaire F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Magny-les-Hameaux, Maurepas', 'latitude': 48.73638, 'longitude': 2.09123, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': 'M B ELECTRONIQUE', 'description': None, 'siret': None}",,,,"{'salaireMin': 35000.0, 'salaireMax': 45000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952253?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952239,Ingénieur Génie Climatique F/H,"Rattaché au responsable de service, vous prenez en charge les projets de A à Z, les études techniques associées (CCTP, plans, RT2012, note de calculs, démarche environnementale, suivi de chantier ) et la coordination avec les autres acteurs de la maitrise d'oeuvre. Le design énergétique sera très important dans chaque projet. La maitrise des outils de simulation énergétiques et règlementaires est un point important. Ce poste implique naturellement l'encadrement de projets, voire d'autres ingéni…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,Ingénieur Génie Climatique F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Toulouse, Haute-Garonne', 'latitude': 43.60436, 'longitude': 1.44295, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': ""Mercato de l'emploi"", 'description': None, 'siret': None}",,,,"{'salaireMin': 38000.0, 'salaireMax': 45000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952239?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952196,Consultant Développeur Salepoint F/H,"Nous recherchons un Consultant Développeur Salepoint (F/H) pour intégrer notre partenaire Grand Compte situé à Toulouse (en hybride). Vos missions : • Assurer le maintien en condition opérationnelle de la solution • Développer les adaptations • Être en capacité de développer les spécificités / Workflow dans l'application SAILPOINT • Prise en charge, suivi et résolution des incidents • Prendre en charge les demandes d'évolution des clients • Modifier le paramétrage des référentiels de sécurité •…",2025-04-16 07:47:36+00:00,2025-04-16 07:47:36+00:00,,,Consultant Développeur Salepoint F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Toulouse, Haute-Garonne', 'latitude': 43.60436, 'longitude': 1.44295, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': 'SAS PROXIEL', 'description': None, 'siret': None}",,,,"{'salaireMin': 40000.0, 'salaireMax': 45000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952196?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952042,Ingénieur expert infrastructure IT F/H,"Notre client recherche un(e) Ingénieur expert infrastructure IT (généraliste). Des projets à mettre en place : 80 % de build et 20 % de Run. C'est un service (OCS) transverse dans le groupe d'une très haute importance. Profil recherché : un(e ) Ingénieur Infra Sénior ayant minimum 7 ans d'expérience Environnement technique : linux et windows, cisco sur le réseau Anglais obligatoire Nous sommes à la recherche des ingénieurs IT qualifiés et certifiés pour occuper un poste chez l'un de nos clients…",2025-04-16 07:47:35+00:00,2025-04-16 07:47:35+00:00,,,Ingénieur expert infrastructure IT F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Dunkerque, Nord', 'latitude': 51.02099, 'longitude': 2.24886, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': 'VIBTIC', 'description': None, 'siret': None}",,,,"{'salaireMin': 40000.0, 'salaireMax': 50000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952042?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
5146952114,Commercial sédentaire Industrie F/H,"Vous intégrez les équipes commerciales, avec notamment Lucile (dont vous trouvez le témoignage ici : https://dv-group.com/temoignages/lucile/ [https://dv-group.com/temoignages/lucile/]). Au quotidien, vos responsabilités sont les suivantes :  Créer des connexions solides : Vous êtes le point central entre notre agence commerciale, nos clients et nos équipes techniques.  Booster votre portefeuille clients : À travers la prospection téléphonique, les mailings et bien plus, vous agrandissez notre …",2025-04-16 07:47:35+00:00,2025-04-16 07:47:35+00:00,,,Commercial sédentaire Industrie F/H,permanent,permanent,,,,,,,,[],,,,,,"{'libelle': 'Douvrin, Béthune', 'latitude': 50.53945, 'longitude': 2.78775, 'codePostal': None, 'commune': None, 'pays': 'France'}","{'nom': 'DV GROUP', 'description': None, 'siret': None}",,,,"{'salaireMin': 35000.0, 'salaireMax': 40000.0, 'devise': 'EUR', 'is_predicted': False}",,,,,,"{'urlOrigine': 'https://www.adzuna.fr/details/5146952114?utm_medium=api&utm_source=df7b4409', 'partenaire': 'Adzuna'}",,,Adzuna,Adzuna,it-jobs,Emplois Informatique
