ID_LIEU,CODE_POSTAL,VILLE,DEPARTEMENT,REGION,PAYS,LATITUDE,LONGITUDE
68,1170,Échenevex,Aude,Occitanie,France,46.31566510067113,6.02268624161074
69,1170,Crozet,Aude,Occitanie,France,46.29046424050635,6.00295056962025
70,1170,Chevry,Aude,Occitanie,France,46.28400972972973,6.0452245045045
71,1170,Vesancy,Aude,Occitanie,France,46.36583858823531,6.07939776470588
72,1170,Gex,Aude,Occitanie,France,46.34358508620688,6.04748818965517
73,1170,Mijoux,Aude,Occitanie,France,46.33680570000001,6.0574695
74,1170,Ségny,Aude,Occitanie,France,46.29180965517242,6.07075620689655
75,1190,Boz,Aude,Occitanie,France,46.40668846153844,4.91452221153846
76,1190,Saint-Étienne-sur-Reyssouze,Aude,Occitanie,France,46.40371314814815,5.00943537037037
77,1190,Boissey,Aude,Occitanie,France,46.3812,4.996962
78,1190,Saint-Bénigne,Aude,Occitanie,France,46.44806864999997,4.95658635
79,1190,Pont-de-Vaux,Aude,Occitanie,France,46.43933744047619,4.93111488095238
80,1190,Reyssouze,Aude,Occitanie,France,46.43155575471698,4.91176783018868
81,1190,Chevroux,Aude,Occitanie,France,46.38222313609466,4.96517958579882
82,1190,Sermoyer,Aude,Occitanie,France,46.49876990147784,4.97356049261084
83,1190,Gorrevod,Aude,Occitanie,France,46.41542434782611,4.95590789855073
84,1190,Arbigny,Aude,Occitanie,France,46.47556610169492,4.96954813559322
85,1190,Chavannes-sur-Reyssouze,Aude,Occitanie,France,46.43628705882354,5.00099595588235
86,1190,Ozan,Aude,Occitanie,France,46.38681127906978,4.91441511627907
87,1200,Injoux-Génissiat,Aveyron,Occitanie,France,46.04771474489797,5.76956336734694
88,1200,Châtillon-en-Michaille,Aveyron,Occitanie,France,46.12978951923079,5.77230865384616
89,1200,Confort,Aveyron,Occitanie,France,46.15661816326529,5.83043693877551
90,1200,Montanges,Aveyron,Occitanie,France,46.16909747252747,5.79498021978022
91,1200,Billiat,Aveyron,Occitanie,France,46.07780090909093,5.77222597402598
92,1200,Léaz,Aveyron,Occitanie,France,46.11121489361702,5.87636744680851
93,1200,Chézery-Forens,Aveyron,Occitanie,France,46.1202119,5.7896126
94,1200,Bellegarde-sur-Valserine,Aveyron,Occitanie,France,46.10492359183673,5.82482881632652
95,1200,Villes,Aveyron,Occitanie,France,46.09388084615385,5.76511630769231
96,1200,Lancrans,Aveyron,Occitanie,France,46.12819783505154,5.83951020618557
97,1210,Ferney-Voltaire,Aveyron,Occitanie,France,46.25432,6.10680223880597
98,1210,Versonnex,Aveyron,Occitanie,France,46.30130448275865,6.10674540229885
99,1210,Ornex,Aveyron,Occitanie,France,46.27579212765959,6.09474138297872
100,1220,Divonne-les-Bains,Aveyron,Occitanie,France,46.37205264999999,6.11931745000001
101,1220,Sauverny,Aveyron,Occitanie,France,46.31267472727274,6.11318436363636
102,1220,Grilly,Aveyron,Occitanie,France,46.32917341176469,6.11528294117647
103,1230,Arandas,Aveyron,Occitanie,France,45.891865,5.49309803030303
104,1230,Argis,Aveyron,Occitanie,France,45.93517195876287,5.48169402061856
105,1230,Chaley,Aveyron,Occitanie,France,45.95639425531914,5.54497989361702
106,1230,Tenay,Aveyron,Occitanie,France,45.92180742331289,5.51704398773006
107,1230,Évosges,Aveyron,Occitanie,France,45.95716712643677,5.49722517241379
108,1230,Saint-Rambert-en-Bugey,Aveyron,Occitanie,France,45.95194831858408,5.44212986725664
